Source	Target	Date
CHN	THA	2020-01-13
CHN	JPN	2020-01-16
CHN	KOR	2020-01-20
CHN	USA	2020-01-20
CHN	TWN	2020-01-21
CHN	VNM	2020-01-23
CHN	SGP	2020-01-23
CHN	NPL	2020-01-23
CHN	FRA	2020-01-24
SGP	MYS	2020-01-24
CHN	AUS	2020-01-25
CHN	CAN	2020-01-25
CHN	KHM	2020-01-27
CHN	LKA	2020-01-27
CHN	DEU	2020-01-27
CHN	ARE	2020-01-29
CHN	FIN	2020-01-29
CHN	PHL	2020-01-30
CHN	IND	2020-01-30
CHN	ITA	2020-01-30
CHN	RUS	2020-01-31
DEU	ESP	2020-01-31
CHN	SWE	2020-01-31
CHN	GBR	2020-01-31
CHN	BEL	2020-02-04
CHN	EGY	2020-02-14
CHN	IRN	2020-02-19
JPN	ISR	2020-02-21
IRN	LBN	2020-02-21
IRN	KWT	2020-02-24
IRN	AFG	2020-02-24
IRN	BHR	2020-02-24
IRN	IRQ	2020-02-24
IRN	OMN	2020-02-24
ITA	DZA	2020-02-25
ITA	AUT	2020-02-25
ITA	HRV	2020-02-25
ITA	CHE	2020-02-25
ITA	BRA	2020-02-26
ITA	GRC	2020-02-26
CHN	NOR	2020-02-26
IRN	PAK	2020-02-26
ITA	ROU	2020-02-26
ITA	MKD	2020-02-26
IRN	GEO	2020-02-27
ITA	DNK	2020-02-27
IRN	EST	2020-02-27
ITA	NLD	2020-02-27
ITA	NGA	2020-02-27
ITA	SMR	2020-02-27
IRN	BLR	2020-02-28
ITA	LTU	2020-02-28
IRN	NZL	2020-02-28
ITA	MEX	2020-02-28
IRN	AZE	2020-02-28
ITA	ISL	2020-02-28
ITA	MCO	2020-02-28
ESP	ECU	2020-02-29
ITA	IRL	2020-02-29
IRN	QAT	2020-02-29
IRN	ARM	2020-03-01
ITA	CZE	2020-03-01
ITA	DOM	2020-03-01
ITA	LUX	2020-03-01
JPN	IDN	2020-03-02
ITA	AND	2020-03-02
ITA	JOR	2020-03-02
ITA	LVA	2020-03-02
ITA	MAR	2020-03-02
ITA	PRT	2020-03-02
ESP	PRT	2020-03-02
IRN	SAU	2020-03-02
FRA	SEN	2020-03-02
ITA	TUN	2020-03-02
ITA	ARG	2020-03-03
SGP	CHL	2020-03-03
ITA	UKR	2020-03-03
ITA	GIB	2020-03-03
CHE	LIE	2020-03-03
DEU	POL	2020-03-04
IRN	HUN	2020-03-04
MAR	SVN	2020-03-04
FRA	FRO	2020-03-04
ITA	BIH	2020-03-05
GRC	PSE	2020-03-05
ITA	ZAF	2020-03-05
ITA	COL	2020-03-06
USA	BTN	2020-03-06
FRA	CMR	2020-03-06
HUN	SRB	2020-03-06
ITA	VAT	2020-03-06
FRA	PER	2020-03-06
ITA	SVK	2020-03-06
